"","osm_id","lon","lat"
"312","431575445",0.7340516,43.1163123
"313","431575447",0.7340588,43.11627
"314","431575450",0.7340356,43.1162637
"315","431575452",0.7340419,43.1162177
"316","431575455",0.7339579,43.1162075
"317","431575456",0.7339624,43.116192
"318","431575457",0.7338267,43.1161766
"319","431575459",0.733856,43.1160305
"320","431575461",0.7337617,43.1160262
"321","431575462",0.7337619,43.1160158
"322","431575465",0.7336273,43.1159997
"323","431575469",0.7335711,43.1160874
"324","431575470",0.7335704,43.1160755
"325","431575471",0.7335299,43.1160712
"326","431575473",0.7335225,43.116083
"327","431575475",0.7335033,43.1160813
"328","431575476",0.7334979,43.1160172
"329","431575479",0.7333449,43.1160016
"330","431575481",0.7333353,43.1159807
"331","431575483",0.733149,43.1159624
"332","431575485",0.7331443,43.1159846
"333","431575486",0.7331119,43.1159812
"334","431575488",0.7331081,43.1160109
"335","431575490",0.7331475,43.1160159
"336","431575491",0.7331403,43.1160597
"337","431575493",0.7332445,43.1160724
"338","431575495",0.7332312,43.1161176
"339","431575497",0.7330995,43.1161045
"340","433875252",-1.7609517,43.3763603
"341","433875257",-1.75964,43.3770216
"342","433875263",-1.7591896,43.3770116
"343","443697188",-1.9708903,43.2918382
"344","443697189",-1.9707768,43.2915642
"345","443697190",-1.9704034,43.2916462
"346","443697191",-1.970517,43.2919202
"347","447416520",3.2329231,43.3472282
"348","447416531",3.2320853,43.3472388
"349","447416533",3.2312831,43.3469872
"350","447416537",3.2307324,43.3468667
"351","447416540",3.2301106,43.3467396
"352","447416542",3.2299905,43.344311
"353","447416554",3.2309911,43.3445058
"354","450126634",3.2299137,43.3443386
"355","450126650",3.2299258,43.3448409
"356","450126651",3.2299397,43.3449924
"357","450126652",3.2323101,43.3470497
"358","450126653",3.2325719,43.3470924
"359","450164829",-2.4304178,42.4616989
"360","450679637",3.2398379,43.3438411
"361","450688002",3.2404278,43.3447285
"362","450688003",3.2415135,43.3442119
"363","454955033",3.2536523,43.3423214
"364","454955034",3.2553207,43.3422067
"365","454955036",3.2552364,43.3415527
"366","454955043",3.2559747,43.3415052
"367","454955044",3.255764,43.3394086
"368","454955046",3.2556895,43.3393174
"369","454955047",3.255636,43.3387043
"370","454955048",3.2557096,43.3386987
"371","454955050",3.2556099,43.3378302
"372","454955051",3.254931,43.3375097
"373","454955053",3.2544115,43.3380593
"374","454955054",3.2537124,43.3388118
"375","454955056",3.2534993,43.3389469
"376","454955057",3.2534555,43.3390066
"377","454955059",3.2534651,43.3391013
"378","454955061",3.2534337,43.3391727
"379","454955062",3.253358,43.3392652
"380","454955064",3.2533241,43.3394403
"381","454955065",3.253381,43.3399793
"382","454955066",3.2534834,43.3400318
"383","454955068",3.253527,43.3404997
"384","454955069",3.2534508,43.3405626
"385","457883293",-8.6151414,42.4294428
"386","457883297",-8.6152402,42.4291385
"387","457883300",-8.6151983,42.4289663
"388","457883304",-8.6151382,42.4287762
"389","457883314",-8.6144262,42.4279147
"390","457883319",-8.6137382,42.4279995
"391","457883326",-8.6135447,42.4285186
"392","457883331",-8.613908,42.428923
"393","457883342",-8.6144259,42.4292014
"394","457883343",-8.6149502,42.4294123
"395","460004276",-0.3323883,43.3033819
"396","460004277",-0.3324732,43.3027442
"397","460004280",-0.3334333,43.300327
"398","469931474",-5.8288943,43.3763478
"399","469931475",-5.83027,43.3762668
"400","469931476",-5.8302647,43.376068
"401","469931477",-5.8297466,43.3760748
"402","469931478",-5.829742,43.3759734
"403","469931479",-5.8302477,43.3759336
"404","469931482",-5.8302169,43.3757372
"405","469931483",-5.8297237,43.3757734
"406","469931484",-5.8297033,43.3756653
"407","469931485",-5.8301973,43.3756017
"408","469931487",-5.8301469,43.3754147
"409","469931489",-5.8296587,43.3754765
"410","469931490",-5.8296241,43.3753779
"411","469931491",-5.8301078,43.375284
"412","469931492",-5.8300292,43.375084
"413","469931493",-5.8288315,43.3753405
"414","469931494",-5.8289939,43.3749924
"415","469931495",-5.8282529,43.3748916
"416","469931496",-5.8259963,43.3753764
"417","469931497",-5.8256529,43.3756474
"418","470331235",2.4176954,42.6269697
"419","470331236",2.4185429,42.6265425
"420","470331238",2.4186317,42.6263773
"421","470331239",2.4185551,42.6263093
"422","470331240",2.4184516,42.626177
"423","470331241",2.4179962,42.6256467
"424","470331242",2.4177014,42.6256018
"425","470331243",2.4176179,42.6256637
"426","470331244",2.4173059,42.6260153
"427","470331245",2.417127,42.6261817
"428","470331246",2.4170504,42.6262747
"429","470331247",2.4170914,42.6263127
"430","470331248",2.4171112,42.626372
"431","470331249",2.4171385,42.6264089
"432","470331250",2.417278,42.6264804
"433","470331251",2.4173705,42.6265621
"434","470331255",2.41741,42.6266359
"435","470331257",2.4174587,42.6267903
"436","470331260",2.4174982,42.6268451
"437","470331262",2.4175346,42.6268652
"438","470331660",2.416805,42.6164378
"439","470331662",2.4164649,42.616964
"440","477792656",-0.0553981,43.0987148
"441","477792668",-0.0556798,43.0989274
"442","482831793",-2.8827934,43.2621094
"443","482831794",-2.8817747,43.2622527
"444","482831795",-2.8818733,43.2623816
"445","482831796",-2.882169,43.2625703
"446","488602922",-2.9156014,43.2585412
"447","488602925",-2.9158517,43.2581593
"448","488602927",-2.9156262,43.2580809
"449","488602931",-2.91522,43.2584087
"450","493394602",-5.8260341,43.3758126
"451","493394645",-5.8254422,43.3768848
"452","493394647",-5.8255358,43.377089
"453","493394650",-5.8254918,43.3769867
"454","493394691",-5.825644,43.3766401
"455","493394692",-5.8260169,43.3767476
"456","493613922",-1.8146268,43.3427466
"457","493613923",-1.8137799,43.3423587
"458","493613924",-1.8144501,43.3415837
"459","493613925",-1.8152049,43.3420796
"460","498739843",-2.0691858,43.1407953
"461","498739844",-2.0691686,43.141265
"462","498739845",-2.0691085,43.1413088
"463","498739847",-2.0690141,43.1413088
"464","498739848",-2.0689626,43.1412712
"465","498739850",-2.0689712,43.1412086
"466","498739851",-2.0690313,43.1411773
"467","498739852",-2.0690484,43.1409706
"468","498739854",-2.0688424,43.1409581
"469","498739855",-2.0688939,43.1405447
"470","498739856",-2.0690828,43.1405573
"471","498739858",-2.0690656,43.1407953
"472","513001133",2.7366417,42.6257305
"473","515401148",2.4044001,43.2634257
"474","521155264",2.7438284,42.6301657
"475","521155267",2.7445073,42.6287322
"476","521155269",2.7449371,42.6270779
"477","521155270",2.7447823,42.626965
"478","521155271",2.7449298,42.6259466
"479","521155272",2.744734,42.6251987
"480","521155273",2.7446668,42.6247154
"481","521155274",2.7452904,42.6237839
"482","521155275",2.745177,42.6235771
